Creativity Score,Adobe Photoshop Proficiency,Adobe Illustrator Proficiency,Adobe After Effects Proficiency,3D Modeling Skill,UI/UX Knowledge,Video Editing Skill,Game Design Knowledge,Sketching/Drawing Skill,Typography Skill,Color Theory Knowledge,Branding Knowledge,Web Development Knowledge,Fashion Design Knowledge,Interior Design Knowledge,Product Design Knowledge,Illustration Skill,Animation Skill,Years of Experience,Preferred Design Style,Career Role
7,7,5,6,5,3,4,3,4,6,3,9,2,1,2,4,4,3,2,Minimalist,Art Director
7,7,7,5,2,6,5,1,2,9,9,3,4,3,2,2,5,3,3,Classic,Graphic Designer
7,6,3,9,5,4,9,5,2,5,4,5,1,2,2,2,3,8,5,Abstract,Motion Graphics Designer
5,6,6,9,4,5,7,3,3,3,6,3,4,2,2,2,4,3,4,Abstract,Video Editor
7,7,9,3,2,5,3,2,8,6,8,5,1,2,1,4,7,3,5,Minimalist,Illustration Artist
5,3,6,5,4,6,2,5,4,3,3,7,3,1,1,4,5,4,3,Classic,Art Director
4,5,5,2,3,6,3,2,2,6,5,2,4,2,1,4,5,4,8,Modern,Packaging Designer
8,5,6,4,3,7,4,5,4,4,5,2,7,2,3,3,4,4,9,Modern,UX/UI Designer
8,4,4,5,7,4,4,1,7,6,6,6,3,3,1,3,9,2,4,Minimalist,Concept Artist
8,9,9,4,4,3,3,5,3,7,7,5,4,2,2,3,4,4,9,Minimalist,Graphic Designer
4,3,3,9,1,5,7,1,4,5,4,4,1,2,1,1,5,3,8,Abstract,Video Editor
6,3,6,2,1,3,5,4,3,5,4,4,1,1,7,4,3,4,1,Modern,Interior Designer
5,8,8,6,1,2,4,2,2,8,8,5,3,3,3,1,5,3,8,Modern,Graphic Designer
8,6,4,8,3,2,7,4,4,4,6,6,3,3,3,2,5,4,3,Classic,Video Editor
7,6,3,2,2,2,4,4,2,3,4,9,3,2,2,3,5,5,10,Classic,Art Director
4,6,6,2,2,2,5,4,2,3,6,4,3,1,7,3,5,5,3,Cartoon,Interior Designer
7,3,6,9,1,5,8,4,3,5,6,2,3,1,1,2,4,3,2,Cartoon,Video Editor
6,7,3,5,1,5,2,5,5,6,6,4,1,1,3,9,4,4,6,Realistic,Product Designer
8,9,8,4,3,3,2,1,5,9,7,7,4,1,3,4,5,5,1,Futuristic,Branding & Identity Designer
4,8,7,6,3,5,2,5,5,7,7,6,3,3,1,4,5,2,5,Futuristic,Graphic Designer
4,9,8,2,2,3,4,2,5,9,8,9,2,3,3,2,4,3,1,Abstract,Branding & Identity Designer
9,3,7,4,5,3,4,2,9,4,7,6,4,2,3,1,7,5,1,Cartoon,Illustration Artist
7,5,6,3,8,4,2,8,4,4,3,3,2,2,1,4,4,3,6,Realistic,Game Designer
8,6,7,7,7,5,7,4,3,3,6,5,2,3,3,3,3,8,10,Abstract,Animator
6,7,9,4,4,3,4,2,2,8,7,8,3,3,1,4,3,2,10,Realistic,Branding & Identity Designer
5,3,4,2,5,7,2,5,4,6,5,6,8,1,3,3,4,5,3,Minimalist,UX/UI Designer
6,3,7,5,7,2,3,4,7,6,6,3,2,1,3,4,7,3,5,Minimalist,Concept Artist
5,4,7,5,8,5,4,8,3,5,4,2,4,1,1,4,5,3,1,Futuristic,Game Designer
7,5,6,5,8,4,5,7,2,3,5,4,1,3,1,1,4,4,2,Modern,Game Designer
8,5,4,9,1,3,7,2,3,4,4,3,3,1,3,4,4,7,2,Futuristic,Motion Graphics Designer
8,9,7,5,1,6,2,1,5,8,7,2,4,3,1,3,4,2,7,Classic,Graphic Designer
8,6,3,6,1,4,2,1,7,4,7,6,3,9,1,4,3,2,3,Modern,Fashion Designer
7,3,6,5,3,8,4,5,2,5,6,2,9,1,1,3,3,4,5,Cartoon,UX/UI Designer
5,4,4,6,3,9,2,3,4,4,5,5,7,2,2,4,3,2,6,Modern,UX/UI Designer
8,4,3,8,3,3,8,5,2,3,4,4,4,1,1,2,3,9,7,Futuristic,Motion Graphics Designer
4,7,6,5,4,4,2,4,3,5,5,8,2,3,3,2,5,2,2,Modern,Art Director
7,4,6,5,5,2,4,1,4,3,6,2,3,1,1,4,3,3,5,Futuristic,Packaging Designer
5,6,7,6,7,6,5,8,2,5,6,6,4,3,3,4,3,3,9,Modern,Game Designer
4,3,7,8,3,2,9,4,3,6,6,5,4,1,2,4,4,5,10,Classic,Video Editor
7,4,6,5,5,7,5,3,3,5,3,2,7,1,1,4,3,2,3,Minimalist,UX/UI Designer
8,4,5,6,1,3,3,2,4,3,3,9,4,1,2,1,4,5,1,Abstract,Art Director
6,7,8,2,3,4,2,5,2,8,7,9,3,1,1,4,5,3,1,Realistic,Branding & Identity Designer
8,7,5,6,5,7,2,2,3,5,3,6,8,1,2,1,5,2,4,Futuristic,UX/UI Designer
4,3,4,9,2,3,8,3,4,4,6,2,2,1,2,2,5,2,1,Futuristic,Video Editor
8,7,4,4,3,9,3,4,3,4,4,3,8,2,3,3,5,4,2,Cartoon,UX/UI Designer
7,3,3,9,4,3,9,1,2,3,6,3,4,1,2,1,3,8,6,Cartoon,Motion Graphics Designer
8,4,7,4,3,4,4,1,4,5,6,9,3,2,1,3,5,4,2,Futuristic,Art Director
8,4,5,4,7,6,3,8,2,4,3,2,1,1,2,2,4,2,10,Abstract,Game Designer
8,5,3,3,7,2,3,9,5,4,5,6,1,2,1,4,3,4,4,Realistic,Game Designer
5,6,4,7,2,4,9,3,4,5,4,4,3,1,2,2,4,4,3,Classic,Video Editor
4,7,6,8,1,2,9,2,3,6,3,2,1,1,2,3,3,7,2,Classic,Motion Graphics Designer
7,4,3,5,3,3,2,5,3,6,4,3,3,3,1,2,3,2,1,Classic,Packaging Designer
