Age,Gender,Country,Region,High School Science Score,Biology Score,Chemistry Score,Physics Score,Mathematics Score,Undergraduate Degree,Medical School Ranking,Institution Type,Medical Entrance Exam Score,Ability to diagnose & treat patients,"Doctor-patient interaction, explaining procedures",Hand-Eye Coordination,Empathy,Analytical Thinking,Years of Medical Education,Clinical Internship Experience (Months),Research Experience (Months),Medical Certifications,Specialization Courses,Interest in Surgery,Interest in Patient Care,Interest in Laboratory & Research,Interest in Emergency Medicine,Interest in Mental Health & Psychology,Preferred Work Environment,Comfort with Long Working Hours,Willingness to Work in Rural Areas,Teamwork Preference,Predicted Medical Career Role
50,Female,USA,Rural,79.37,84.03,67.67,70.55,50.19,BSc Nursing,Mid Tier,Public,72.52,8,5,5,6,5,12,16,15,2,1,5,9,2,8,6,Clinic,3,No,1,Emergency Medicine Specialist
36,Male,India,Urban,79.26,78.8,72.99,68.25,66.91,BDS,Mid Tier,Public,92.35,5,8,6,5,5,14,21,10,2,4,4,8,7,6,6,Research Lab,3,Yes,2,General Physician
29,Female,Germany,Urban,96.8,66.19,73.85,91.1,57.25,BPharm,Top Tier,Private,94.43,7,7,7,7,7,6,8,15,1,0,4,3,9,1,6,Research Lab,5,No,1,Radiologist
42,Male,Canada,Urban,62.94,94.6,82.6,63.58,69.54,MBBS,Mid Tier,Public,75.28,9,9,7,5,9,13,18,11,9,1,5,6,5,1,1,Clinic,4,No,4,Cardiologist
40,Female,Germany,Urban,98.29,62.1,66.18,70.08,78.78,BSc Nursing,Top Tier,Public,96.98,8,5,4,7,7,9,20,13,4,0,7,8,1,7,7,Hospital,8,No,4,Surgeon
44,Female,UK,Rural,68.66,70.8,75.48,80.3,95.44,BPharm,Mid Tier,Public,78.19,6,6,9,8,9,8,16,21,8,2,9,9,7,2,9,Research Lab,9,Yes,3,Surgeon
32,Female,India,Rural,98.81,64.39,64.02,63.51,91.98,BSc Nursing,Top Tier,Private,87.97,9,5,9,8,6,6,10,9,6,2,5,5,3,2,6,Hospital,7,Yes,5,General Physician
32,Male,Australia,Urban,81.65,64.27,79.86,60.44,74.95,MBBS,Mid Tier,Public,72.1,5,9,9,6,8,14,20,13,8,3,9,4,5,7,3,Pharma Industry,2,No,8,Surgeon
45,Male,India,Urban,86.08,75.62,97.9,87.65,51.18,BSc Biotech,Mid Tier,Public,54.11,5,9,9,7,6,5,22,22,6,2,6,7,7,2,4,Pharma Industry,8,No,2,Emergency Medicine Specialist
57,Male,Canada,Rural,72.63,66.42,73.56,84.54,65.04,MBBS,Top Tier,Private,91.89,5,8,9,6,6,12,15,4,9,0,3,7,2,6,1,Research Lab,9,Yes,8,Orthopedic Doctor
45,Female,UK,Rural,84.47,83.26,61.99,60.34,55.33,BSc Biotech,Top Tier,Public,97.16,8,8,8,5,6,6,1,15,7,0,1,6,4,5,8,Pharma Industry,9,No,8,Neurologist
24,Male,India,Urban,88.43,85.09,84.35,61.94,82.53,BDS,Low Tier,Public,86.18,5,6,4,5,6,8,18,15,4,4,8,1,3,8,5,Research Lab,5,Yes,8,Emergency Medicine Specialist
43,Female,Germany,Urban,60.41,95.28,85.39,68.77,84.77,BPharm,Low Tier,Private,70.45,9,7,4,5,6,9,5,22,5,0,4,7,9,6,1,Hospital,2,No,4,Cardiologist
23,Female,USA,Urban,61.37,71.99,79.18,96.25,82.44,BSc Nursing,Top Tier,Public,93.02,9,8,6,5,7,8,11,5,2,1,5,2,2,4,8,Research Lab,3,No,6,Neurologist
